Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Baillie Wind Farm - Bardnaheigh Farm,52.5,onshore,,Baillie Wind Farm Ltd,Statkraft (40.8%); Gingko Tree Investment (39.2%); Baillie Wind Farm Ltd (20%),Nordex,Nordex N90,21,2.5,Horizontal axis turbine,Scotland,Highland,Scotland,"Westfield, Stempster Hill and Bardnaheigh, Thurso",,Highland Council,04/00342/S36CA,58.0478,-4.12778,NC 74505 08500,65,110,90,Operational,Fully Commissioned,Consented,01-Aug-13,,25 years after fully commissioned,01-Aug-38,,,,,,,,"01/08/2013 Fully Commissioned [estimate] ;
15/03/2013 Partial Operation [estimate] ;
19/09/2011 Under construction ;
12/01/2010 Approved ;
13/07/2004 Submitted (S36)",13-Jul-04,(S36) ,12-Jan-10,Approved (S36) ,,,19-Sep-11,Under construction ,01-Aug-13,[Estimate],,,31-Jul-14,Statkraft has reached an agreement with Gingko Tree Investment Ltd for the sale of 49 per cent of its onshore wind power portfolio in the UK. Statkraft will continue to manage and operate the wind farms and also continue its relationship with stakeholders and local communities.,http://www.statkraft.com/media/press-releases/Press-releases-archive/2014/Statkraft-sells-minority-interest-in-UK-onshore-portfolio-to-reinvest-in-new-renewable-energy/
Bairds Malt,0.9,onshore,,Green Cat Renewables Ltd,Landowner (private or company) (100%),,,1,0.9,,Scotland,Angus,Scotland,"Peasiehill Road, Elliot Industrial Estate, Arbroath",,Angus Council,14/01067/FULL,56.5528,-2.62333,NO 61779 40265,55,77,,Refused,Refused on appeal,Refused,13-Sep-16,,,,,,,,,,,"13/09/2016 Refused on appeal ;
06/06/2016 On appeal ;
01/03/2016 Refused ;
24/12/2014 Submitted (LPA)",24-Dec-14,(LPA) ,01-Mar-16,Refused (LPA) ,13-Sep-16,Refused on appeal ,,,,,,,13-Sep-16,An appeal by Bairds Malt against refusal of planning permission for a single wind turbine has been refused by Angus Council,RenewableUK comment
Bake Sawmills,0.5,onshore,,Murex Energy Ltd,Murex Energy Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Cornwall,South West,"Bake Lane, Trerulefoot",,Cornwall Council,PA12/05275,50.3997,-4.3675,SX 31839 58216,40,67,54,Operational,Fully Commissioned,Consented,31-Mar-14,,25 years after fully commissioned,31-Mar-39,,,,,,,,"31/03/2014 Fully Commissioned ;
30/01/2014 Under construction ;
15/01/2014 Approved on appeal [non-determination] ;
09/01/2013 On appeal [non-determination] ;
06/06/2012 Submitted (LPA)",06-Jun-12,(LPA) ,,Not determined ,15-Jan-14,Approved on appeal [Non determination],30-Jan-14,Under construction ,31-Mar-14,,,,09-Jan-13,An appeal has been lodged on grounds of non determination.,RenewableUK comment
Balado (T in the Park),6,onshore,,Glendevon Energy Company (GEC),Glendevon Energy Company (GEC) (100%),,,3,2,,Scotland,Perth & Kinross,Scotland,Kinross,,Perth & Kinross Council,02/01464/FUL (too old to be online),56.2064,-3.46056,NO 09494 02494,78,118,80,Refused,Refused on appeal,Refused,14-Jan-04,,,,,,,,,,,"14/01/2004 Refused on appeal [non-determination] ;
23/04/2003 On appeal [non-determination] ;
01/09/2002 Submitted (LPA)",01-Sep-02,(LPA) ,,Not determined ,14-Jan-04,Refused on appeal [Non determination],,,,,,,23-Apr-03,An appeal against non-determination has been lodged.,RenewableUK comment
Balbie Farm (Resubmission),0.5,onshore,,Locogen Ltd,Locogen Ltd (100%),,,1,0.5,,Scotland,Fife,Scotland,"Orrock, Auchtertool, Burntisland",,Fife Council,14/00354/FULL,56.0797,-3.23472,NT 23250 88119,,67,,Refused,Refused on appeal,Refused,31-Oct-14,,,,,,,,,,,"31/10/2014 Refused on appeal ;
05/08/2014 On appeal ;
13/06/2014 Refused ;
05/02/2014 Submitted (LPA)",05-Feb-14,(LPA) ,13-Jun-14,Refused (LPA) ,31-Oct-14,Refused on appeal ,,,,,,Balbie Farm,,,
Baldoukie Farm,0.8,onshore,,AAH Planning Consultants,Landowner (private or company) (100%),Enercon,Enercon E53,1,0.8,Horizontal axis turbine,Scotland,Angus,Scotland,"Field 400m East Of Moor Cottage, Baldoukie, Forfar",,Angus Council,15/00542/FULL,56.7269,-2.87197,NO 46740 59806,50,76.45,53,Refused,Refused,Refused,19-Oct-15,,,,,,,,,,,"19/10/2015 Refused ;
04/06/2015 Submitted (LPA)",04-Jun-15,(LPA) ,19-Oct-15,Refused (LPA) ,,,,,,,,,,,
Baldowrie,0.5,onshore,,Realise Energy Services (Realise Renewables),Landowner (private or company) (100%),,,1,0.5,,Scotland,Perth & Kinross,Scotland,"Land 1200m South East Of The House On The Hill, Kettins",,Perth & Kinross Council,13/00693/FLL,56.5347,-3.17274,NO 27971 38695,30,45,30,Under construction,Under construction,Consented,01-Mar-16,,25 years after consent,03-Jun-38,,,,,,,,"01/03/2016 Under construction [estimate] ;
03/06/2013 Approved ;
04/04/2013 Submitted (LPA)",04-Apr-13,(LPA) ,03-Jun-13,Approved (LPA) ,,,01-Mar-16,Under construction [Estimate],,,,,,,
Baldyquash Farm,0.8,onshore,,Locogen Ltd,Locogen Ltd (100%),,,1,0.8,,Scotland,Aberdeenshire,Scotland,"Meikle Wartle, Inverurie",,Aberdeenshire Council,APP/2013/2909,57.3956,-2.5025,NJ 69897 34021,60,86.5,53,Consented,Approved on appeal,Consented,16-Jul-15,,25 years after fully commissioned,,,,,,,,,"16/07/2015 Approved on appeal ;
27/04/2015 On appeal ;
03/02/2015 Refused ;
16/09/2013 Submitted (LPA)",16-Sep-13,(LPA) ,03-Feb-15,Refused (LPA) ,16-Jul-15,Approved on appeal ,,,,,,,,,
Balhall Lodge (Resubmission),0.1,onshore,,Harmony Energy,Harmony Energy (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Scotland,Angus,Scotland,"Menmuir, Brechin",,Angus Council,14/00781/FULL,56.7633,-2.78833,NO 51905 63800,36.8,48.5,23.6,Operational,Fully Commissioned,Consented,01-Mar-16,,,,,,,,,,,"01/03/2016 Fully Commissioned ;
22/01/2016 Under construction ;
01/11/2015 Approved on appeal [estimate] ;
01/05/2015 On appeal [estimate] ;
09/04/2015 Refused ;
08/09/2014 Submitted (LPA)",08-Sep-14,(LPA) ,09-Apr-15,Refused (LPA) ,01-Nov-15,Approved on appeal ,22-Jan-16,Under construction ,01-Mar-16,,,Balhall Lodge,,,
Balhousie Farm,0.5,onshore,,Locogen Ltd,Landowner (private or company) (100%),,,1,0.5,,Scotland,Angus,Scotland,Carnoustie,,Angus Council,13/01115/FULL,56.5172,-2.69611,NO 57265 36345,50,77,,Refused,Refused,Refused,17-Oct-14,,,,,,,,,,,"17/10/2014 Refused ;
04/12/2013 Submitted (LPA)",04-Dec-13,(LPA) ,17-Oct-14,Refused (LPA) ,,,,,,,,,,,
Balkemback Farm Turbine 1,0.225,onshore,,1 Stop Renewables Ltd,Landowner (private or company) (100%),ACSA,ACSA A29,1,0.225,Horizontal axis turbine,Scotland,Angus,Scotland,"600m SW Of Balkemback Farm, Tealing",,Angus Council,11/00022/FULL,56.5281,-3.00056,NO 38549 37790,32,46.5,29,Operational,Fully Commissioned,Consented,28-Nov-12,,0.5 years after abandonment,,,,,,,,,"28/11/2012 Fully Commissioned ;
15/06/2012 Under construction ;
13/05/2011 Approved ;
17/01/2011 Submitted (LPA)",17-Jan-11,(LPA) ,13-May-11,Approved (LPA) ,,,15-Jun-12,Under construction ,28-Nov-12,,,,,,
Balkemback Farm Turbine 2,0.225,onshore,,1 Stop Renewables Ltd,Landowner (private or company) (100%),ACSA,ACSA A29,1,0.225,Horizontal axis turbine,Scotland,Angus,Scotland,"760m South West Of Balkemback Farm, Tealing",,Angus Council,11/01037/FULL,56.5264,-2.99873,NO 38659 37596,32,46.5,29,Operational,Fully Commissioned,Consented,01-Dec-13,,,,,,,,,,,"01/12/2013 Fully Commissioned [estimate] ;
01/05/2013 Under construction [estimate] ;
01/03/2012 Approved ;
25/10/2011 Submitted (LPA)",25-Oct-11,(LPA) ,01-Mar-12,Approved (LPA) ,,,01-May-13,Under construction [Estimate],01-Dec-13,[Estimate],,,,,
Ballagh Road,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,Clogher,,Mid Ulster District Council,M/2013/0161/F,54.3936,-7.24833,NV 59469 12492,40,55,,Consented,Approved,Consented,08-Aug-13,07-Aug-18,25 years after fully commissioned,,,,,,,,,"08/08/2013 Approved ;
08/04/2013 Submitted (LPA)",08-Apr-13,(LPA) ,08-Aug-13,Approved (LPA) ,,,,,,,,,,,
Ballaird Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E48,1,0.5,Horizontal axis turbine,Scotland,Stirling,Scotland,"Land 484 Metres South West Of South Ballaird Farm, Buchlyvie",,Stirling Council,15/00374/FU,56.0949,-4.33471,NS 54856 91582,55,79,48,Refused,Refused,Refused,09-Sep-15,,,,,,,,,,,"09/09/2015 Refused ;
15/06/2015 Submitted (LPA)",15-Jun-15,(LPA) ,09-Sep-15,Refused (LPA) ,,,,,,,,,,,
Ballindalloch Muir,20,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),,,9,2.3,,Scotland,Stirling,Scotland,"near Balfron, south of Buchlyvie",,Stirling Council,07/01050/DET,56.0864,-4.29167,NS 57501 90545,,125,,Refused,Refused,Refused,25-Nov-09,,,,,,,,,,,"25/11/2009 Refused ;
11/01/2008 Submitted (LPA)",11-Jan-08,(LPA) ,25-Nov-09,Refused (LPA) ,,,,,,,,,,,
"Ballinderry Road, 106",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),Fuhrländer,FL 250/30,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"Lands to North East of 106 Ballinderry Road, Aghacarnan, Lisburn",,Lisburn & Castlereagh City Council,S/2013/0689/F,54.5379,-6.16053,NW 30974 23811,40,55,30,Operational,Fully Commissioned,Consented,01-Dec-16,,1 years after abandonment,,,Replaced,"Ballinderry Road, 106 (Replacement) (Resubmission) [Submitted (LPA), 19-Aug-2019, 0.25MW]",,,,,"01/12/2016 Fully Commissioned ;
01/08/2016 Under construction ;
12/08/2014 Approved ;
19/11/2013 Submitted (LPA)",19-Nov-13,(LPA) ,12-Aug-14,Approved (LPA) ,,,01-Aug-16,Under construction ,01-Dec-16,,,,,,
"Ballinderry Road, 106 Turbine 2",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"Lands 225m North East of 106 Ballinderry Road, Lisburn, BT28 2NW",,Lisburn & Castlereagh City Council,S/2011/0650/F,54.5388,-6.16378,NW 30770 23930,46,61,30,Operational,Fully Commissioned,Consented,01-Aug-14,,,,,Replaced,"Ballinderry Road, 106 Turbine 2 (Replacement) [Approved, 30-Jan-2019, 0.25MW]",,,,,"01/08/2014 Fully Commissioned ;
01/04/2014 Under construction ;
06/09/2012 Approved ;
08/08/2011 Submitted (LPA)",08-Aug-11,(LPA) ,06-Sep-12,Approved (LPA) ,,,01-Apr-14,Under construction ,01-Aug-14,,,,,,
"Ballinderry Road, 106 Turbine 2 (Replacement)",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"Lands approx. 220m north of 106 Ballinderry Road, Lisburn, BT28 2NW",,Lisburn & Castlereagh City Council,LA05/2017/1232/F,54.5388,-6.16378,NW 30770 23930,50,76,52,Consented,Approved,Consented,30-Jan-19,29-Jan-24,Not specified,,,,,Replaced,"Ballinderry Road, 106 Turbine 2 [Fully Commissioned, 1-Aug-2014, 0.25MW]",,,"30/01/2019 Approved ;
01/12/2017 Submitted (LPA)",01-Dec-17,(LPA) ,30-Jan-19,Approved (LPA) ,,,,,,,,,,,
"Ballindreen Road, 26",0.225,onshore,,Ross Planning,Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Londonderry,Northern Ireland,"496 metres North-West of 26 Ballindreen Road, Coleraine, BT52 2LW.",,Causeway Coast & Glens Borough Council,C/2014/0141/F,55.1249,-6.5847,NW 07833 90776,40,55,30,Operational,Fully Commissioned,Consented,03-Mar-17,,1 years after abandonment,,,,,,,,,"03/03/2017 Fully Commissioned ;
01/10/2016 Under construction ;
29/10/2014 Approved ;
14/04/2014 Submitted (LPA)",14-Apr-14,(LPA) ,29-Oct-14,Approved (LPA) ,,,01-Oct-16,Under construction ,03-Mar-17,,,,,,
"Ballinlea Road, 9a",0.225,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Norwin,Norwin 29,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,170m SW of 9a Ballinlea Road Ballycastle,,Causeway Coast & Glens Borough Council,E/2012/0225/F,55.2188,-6.36708,NR 22351 00324,30.4,44.95,29.1,Operational,Fully Commissioned,Consented,13-Oct-16,,1 years after abandonment,,,,,,,,,"13/10/2016 Fully Commissioned ;
01/06/2016 Under construction [estimate] ;
06/08/2013 Approved ;
10/12/2012 Submitted (LPA)",10-Dec-12,(LPA) ,06-Aug-13,Approved (LPA) ,,,01-Jun-16,Under construction [Estimate],13-Oct-16,,,,,,
"Ballintate Road, 22",0.225,onshore,,Lissan Design,Landowner (private or company) (100%),ACSA,ACSA A29,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Armagh,Northern Ireland,"290 metres west of no 22 Ballintate Road, Whitecross, Armagh",,Newry & Mourne Council,P/2012/0887/F,54.2269,-6.51639,SB 05751 90664,51.5,66,29,Operational,Fully Commissioned,Consented,20-Jan-16,,,,,,,,,,,"20/01/2016 Fully Commissioned ;
01/07/2015 Under construction [estimate] ;
20/03/2013 Approved ;
20/11/2012 Submitted (LPA)",20-Nov-12,(LPA) ,20-Mar-13,Approved (LPA) ,,,01-Jul-15,Under construction [Estimate],20-Jan-16,,,,,,
Balloo Wood,0.8,onshore,,Ards and North Down Borough Council,Ards and North Down Borough Council (100%),Enercon,Enercon E48,1,0.8,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,Bangor,,Downpatrick DC,,54.6412,-5.66567,NW 63568 33512,55,79,48,Operational,Fully Commissioned,Consented,28-Jul-08,,,,,,,,,,,"28/07/2008 Fully Commissioned ;
01/07/2008 Under construction ;
01/01/2007 Approved ;
01/08/2006 Submitted (LPA)",01-Aug-06,(LPA) ,01-Jan-07,Approved (LPA) ,,,01-Jul-08,Under construction ,28-Jul-08,,,,,,
"Ballyavelin Road, 61",0.25,onshore,,Breen Architects & Consultants,Ash Renewables Ltd (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"273m South West of 61 Ballyavelin Road, Limavady,  BT49 0NQ",,Causeway Coast & Glens Borough Council,B/2012/0177/F,55.0245,-6.89926,NV 87012 80972,40,55,30,Operational,Fully Commissioned,Consented,06-Dec-17,,1 years after abandonment,,,,,,,,,"06/12/2017 Fully Commissioned ;
01/09/2017 Under construction [estimate] ;
20/12/2012 Approved ;
21/06/2012 Submitted (LPA)",21-Jun-12,(LPA) ,20-Dec-12,Approved (LPA) ,,,01-Sep-17,Under construction [Estimate],06-Dec-17,,,,,,
Ballybeeny Road 1,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,Bready,,Derry City & Strabane District Council,J/2012/0414/F,54.9172,-7.39472,NV 54459 71389,41,60.5,39,Refused,Refused,Refused,08-Jul-16,,,,,,,,,,,"08/07/2016 Refused ;
27/12/2012 Submitted (LPA)",27-Dec-12,(LPA) ,08-Jul-16,Refused (LPA) ,,,,,,,,,,,
Ballybeeny Road 2,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,Bready,,Derry City & Strabane District Council,J/2012/0413/F,54.9181,-7.3925,NV 54609 71478,41,60.5,39,Refused,Refused,Refused,08-Jul-16,,,,,,,,,,,"08/07/2016 Refused ;
27/12/2012 Submitted (LPA)",27-Dec-12,(LPA) ,08-Jul-16,Refused (LPA) ,,,,,,,,,,,
"Ballyblack Road, 32A",0.25,onshore,,Clyde Shanks Ltd,Green Energy Wind (100%),,,1,0.25,,Northern Ireland,Co. Down,Northern Ireland,"195m north east of 32A Ballyblack Road, Newtownards",,Ards and North Down Borough Council,LA06/2016/0721/F,54.5865,-5.60416,NW 67224 27232,40,55,30,Consented,Approved,Consented,31-May-17,30-May-22,,,,,,,,,,"31/05/2017 Approved ;
14/07/2016 Submitted (LPA)",14-Jul-16,(LPA) ,31-May-17,Approved (LPA) ,,,,,,,,,,,
"Ballyblack Road, 44",0.225,onshore,,Landowner (private or company),NTR Plc (100%),,,1,0.25,,Northern Ireland,Co. Down,Northern Ireland,"220m north of 44 Ballyblack Road, Newtownards, BT22 2AZ",,Ards and North Down Borough Council,X/2011/0729/F,54.585,-5.59033,NW 68108 27017,32,46.7,29,Operational,Fully Commissioned,Consented,20-Jul-17,,25 years after fully commissioned,20-Jul-42,,,,,,,,"20/07/2017 Fully Commissioned ;
01/02/2017 Under construction [estimate] ;
16/11/2012 Approved ;
29/11/2011 Submitted (LPA)",29-Nov-11,(LPA) ,16-Nov-12,Approved (LPA) ,,,01-Feb-17,Under construction [Estimate],20-Jul-17,,,,19-Mar-15,Permission has been granted to increase the permitted size of turbine at 44 Ballyblack Road.,RenewableUK comment
"Ballybogey Road, 203",0.25,onshore,,Wind NI Ltd,Resonance British Wind Energy Income (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"465m SW of 203 Ballybogey Road, Bushmills, BT57 8UH",,Causeway Coast & Glens Borough Council,C/2013/0305/F,55.1782,-6.57652,NW 08743 96666,30,46.5,33,Operational,Fully Commissioned,Consented,10-Nov-16,,1 years after abandonment,,,Replaced,"Ballybogey Road, 203 (Replacement) [Submitted (LPA), 10-Dec-2018, 0.25MW]",,,,,"10/11/2016 Fully Commissioned ;
01/04/2016 Under construction [estimate] ;
30/04/2014 Approved ;
05/08/2013 Submitted (LPA)",05-Aug-13,(LPA) ,30-Apr-14,Approved (LPA) ,,,01-Apr-16,Under construction [Estimate],10-Nov-16,,,,16-Aug-19,Resonance has acquired the project from Wind NI.,RenewableUK comment
"Ballybogie Hill, 12",0.25,onshore,,Canavan Associates Ltd,Albion Community Power plc (100%),Bonus,Bonus B35/450,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"510 metres East of no. 12 Ballybogie Hill, Clough, Ballymena, BT44 9SE",,Mid and East Antrim Borough Council,G/2011/0393/F,54.9869,-6.28732,NW 25834 74223,44,,33.4,Operational,Fully Commissioned,Consented,01-Oct-14,,Not specified,,,,,,,,,"01/10/2014 Fully Commissioned ;
01/07/2014 Under construction [estimate] ;
08/08/2012 Pre-Construction ;
21/12/2011 Approved ;
31/08/2011 Submitted (LPA)",31-Aug-11,(LPA) ,21-Dec-11,Approved (LPA) ,,,01-Jul-14,Under construction [Estimate],01-Oct-14,,,,08-Feb-18,Ownership has been transferred to Albion Community Power,RenewableUK comment
"Ballyboley Road, 160",0.25,onshore,,Drumlin Wind Energy Co-op,Drumlin Wind Energy Co-op (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"Ballyboley Road, Larne",,Mid and East Antrim Borough Council,F/2011/0099/F,54.8618,-5.86241,NW 52233 58732,30,45,30,Operational,Fully Commissioned,Consented,10-Sep-14,,1 years after abandonment,,,,,,,,,"10/09/2014 Fully Commissioned ;
01/11/2013 Under construction ;
28/10/2011 Approved ;
13/04/2011 Submitted (LPA)",13-Apr-11,(LPA) ,28-Oct-11,Approved (LPA) ,,,01-Nov-13,Under construction ,10-Sep-14,,,,,,
"Ballybollen Road, 14",0.25,onshore,,Wind NI Ltd,Wind NI Ltd (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"370m South of 14 Ballybollen Road, Ahoghill, Ballymena",,Mid and East Antrim Borough Council,LA02/2015/0143/F,54.8113,-6.36081,NW 19918 54991,53,75,44,Consented,Approved,Consented,15-Mar-16,14-Mar-21,,,,,,,,,,"15/03/2016 Approved ;
19/05/2015 Submitted (LPA)",19-May-15,(LPA) ,15-Mar-16,Approved (LPA) ,,,,,,,,,,,
"Ballybrack Road, 19",0.15,onshore,,Newline Architects,Landowner (private or company) (100%),Bonus,Bonus B24/150,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"140m North of 19 Ballybrack Road, Loughmacrory, Omagh",,Omagh District Council,K/2011/0315/F,54.6298,-7.12069,NV 69661 38127,30,42,24,Operational,Fully Commissioned,Consented,01-May-16,,1 years after abandonment,,,Replaced,"Ballybrack Road, 19 (Replacement) [Submitted (LPA), 7-Dec-2018, 0.15MW]",,,,,"01/05/2016 Fully Commissioned ;
01/12/2015 Under construction [estimate] ;
12/12/2012 Approved ;
04/05/2011 Submitted (LPA)",04-May-11,(LPA) ,12-Dec-12,Approved (LPA) ,,,01-Dec-15,Under construction [Estimate],01-May-16,,,,05-Nov-15,An application to amend an existing planning consent to allow a 150kw turbine to be installed instead of a 100kw turbine at 19 Ballybrack Road has been approved.,RenewableUK comment
"Ballybracken Road, 70",0.25,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Vergnet,Vergnet MPR-32,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,395m North East of 70 Ballybracken Road Doagh,,Antrim and Newtonabbey Borough Council,T/2012/0118/F,54.7689,-6.08528,NW 37335 49211,32.3,48.3,32,Operational,Fully Commissioned,Consented,01-Aug-16,,1 years after abandonment,,,,,,,,,"01/08/2016 Fully Commissioned ;
01/04/2016 Under construction [estimate] ;
08/11/2013 Approved ;
19/04/2012 Submitted (LPA)",19-Apr-12,(LPA) ,08-Nov-13,Approved (LPA) ,,,01-Apr-16,Under construction [Estimate],01-Aug-16,,,,,,
"Ballyclough Road, 92",0.25,onshore,,2020 Architects,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"409m South West of 92 Ballyclough Road, Bushmills, BT57 8XA",,Causeway Coast & Glens Borough Council,C/2013/0500/F,55.1975,-6.55917,NW 09987 98735,40,53.5,27,Consented,Approved,Consented,25-Feb-15,24-Feb-20,,,,,,,,,,"25/02/2015 Approved ;
20/12/2013 Submitted (LPA)",20-Dec-13,(LPA) ,25-Feb-15,Approved (LPA) ,,,,,,,,,,,
"Ballyclough Road, 94",0.25,onshore,,2020 Architects,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"335m West of 94 Ballyclough Road, Bushmills",,Causeway Coast & Glens Borough Council,LA01/2015/0366/F,55.1985,-6.5592,NW 09993 98843,30,47,34,Refused,Refused,Refused,12-Oct-16,,,,,,,,,,,"12/10/2016 Refused ;
30/06/2015 Submitted (LPA)",30-Jun-15,(LPA) ,12-Oct-16,Refused (LPA) ,,,,,,,,,,,
"Ballycolin Road, 23",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"585m north west of 23 Ballycolin Road, Dunmurry, Belfast, BT17 0NN",,Lisburn & Castlereagh City Council,S/2010/0716/F,54.5695,-6.05732,NW 37850 26938,31,,,Operational,Fully Commissioned,Consented,04-Jul-14,,1 years after abandonment,,,,,,,,,"04/07/2014 Fully Commissioned ;
01/02/2014 Under construction [estimate] ;
14/09/2011 Approved ;
16/08/2010 Submitted (LPA)",16-Aug-10,(LPA) ,14-Sep-11,Approved (LPA) ,,,01-Feb-14,Under construction [Estimate],04-Jul-14,,,,,,
"Ballycolin Road, 42",0.25,onshore,,Lissan Design,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"280m South West of No 42 Ballycolin Road, Belfast.",,Lisburn & Castlereagh City Council,S/2013/0739/F,54.5789,-6.07278,NW 36912 28039,,65,,Consented,Approved on appeal,Consented,03-Jun-15,,25 years after first generation,,,,,,,,,"03/06/2015 Approved on appeal [non-determination] ;
01/02/2014 On appeal [non-determination] ;
16/12/2013 Submitted (LPA)",16-Dec-13,(LPA) ,,Not determined ,03-Jun-15,Approved on appeal [Non determination],,,,,,,01-Feb-14,An appeal has been lodged on grounds of non determination.,RenewableUK comment
"Ballyconnell Road, 72",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Fermanagh,Northern Ireland,"116m North of 72 Ballyconnell Road, Derrylea, BT92 9QR",,Enniskillen DC,L/2014/0149/F,54.1785,-7.5697,SA 36740 90201,40,59.5,39,Operational,Fully Commissioned,Consented,03-Aug-16,,1 years after abandonment,,,,,,,,,"03/08/2016 Fully Commissioned ;
01/04/2016 Under construction [estimate] ;
19/11/2014 Approved ;
04/04/2014 Submitted (LPA)",04-Apr-14,(LPA) ,19-Nov-14,Approved (LPA) ,,,01-Apr-16,Under construction [Estimate],03-Aug-16,,,,07-Mar-16,"An application to amend the consented turbine at Ballyconnell Road to a 250kw turbine, 40m hub has been approved by Fermanagh and Omagh District Council.Reference LA10/2015/0552/F",RenewableUK comment
"Ballyconnell Road, 72 Turbine 2",0.66,onshore,,CD Consulting,Landowner (private or company) (100%),Vestas,Vestas V47,1,0.66,Horizontal axis turbine,Northern Ireland,Co. Fermanagh,Northern Ireland,"50m South of 72 Ballyconnell Road, Derrylea, Derrylin, BT92 9DS",,Fermanagh & Omagh District Council,LA10/2017/1118/F,54.177,-7.56961,SA 36733 90026,50,73.5,47,Refused,Refused,Refused,29-Jan-18,,,,,,,,,,,"29/01/2018 Refused ;
24/10/2017 Submitted (LPA)",24-Oct-17,(LPA) ,29-Jan-18,Refused (LPA) ,,,,,,,"Ballyconnell Road, 72 Turbine 2 (Resubmission)",,29-Jan-18,"Fermanagh & Omagh District Council have refused planning for a single turbine 50m, rotor 47m at Ballyconnell Road",RenewableUK comment
"Ballyconnell Road, 72 Turbine 2 (Resubmission)",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),Vestas,Vestas V47,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Fermanagh,Northern Ireland,"50m South of 72 Ballyconnell Road, Derrylea, Derrylin, BT92 9DS",,Fermanagh & Omagh District Council,LA10/2018/0998/F,54.177,-7.56961,SA 36733 90026,50,73.5,47,Consented,Approved,Consented,04-Feb-19,03-Feb-24,Not specified,,,,,,,,,"04/02/2019 Approved ;
27/07/2018 Submitted (LPA)",27-Jul-18,(LPA) ,04-Feb-19,Approved (LPA) ,,,,,,,,"Ballyconnell Road, 72 Turbine 2",04-Feb-19,Fermanagh & Omagh District Council have granted planning permission for a second turbine at 72 Ballyconnell Road.,RenewableUK comment
